Date,BEDCAP_ICU,VENTCAP_ICU,BEDCAP_OTHER,VENTCAP_OTHER,COVID_NEWICU,COVID_ICU,COVID_NEWOTHER,COVID_OTHER,COVID_VENT,VENTCAP_TOTAL,NONCOVID_ICU,NONCOVID_OTHER,NONCOVID_VENT,COVID_HOSP
2021-07-03,5630,3523,58657,1035,4,314,67,498,203,4558,1660,25650,495,812
2021-07-04,5630,3523,58364,1035,8,309,79,501,198,4558,1699,25427,481,810
2021-07-05,5630,3523,58669,1039,16,302,105,498,198,4562,2255,34221,771,800
2021-07-06,5630,3523,59053,1039,12,288,102,502,192,4562,2371,36938,792,790
2021-07-07,5634,3525,59112,1050,6,279,97,501,184,4575,2253,34773,766,780
2021-07-08,5634,3525,58982,1050,15,275,97,448,180,4575,2255,34596,749,723
2021-07-09,5634,3529,58305,1059,10,272,91,429,174,4588,2100,31417,665,701
2021-07-10,5634,3529,58188,1059,11,275,106,439,172,4588,2044,31151,494,714
2021-07-11,5634,3529,58943,1059,11,279,86,422,160,4588,2101,31935,506,701
2021-07-12,5634,3529,59112,1059,9,259,92,421,165,4588,2190,34461,696,680
2021-07-13,5634,3529,59663,1059,21,249,92,413,158,4588,2263,35444,728,662
2021-07-14,5634,3529,59706,1059,9,237,101,408,152,4588,2365,37546,749,645
2021-07-15,5634,3529,59647,1059,16,224,101,402,151,4588,2231,35122,733,626
2021-07-16,5634,3528,59469,1065,10,211,84,384,146,4593,2102,32304,652,595
2021-07-17,5634,3528,58661,1065,8,209,82,393,135,4593,1717,31861,507,602
2021-07-18,5634,3528,58769,1065,7,210,80,397,130,4593,1693,31968,501,607
2021-07-19,5634,3528,59232,1065,11,205,105,381,133,4593,2220,34556,740,586
2021-07-20,5634,3528,59652,1065,9,213,97,357,110,4593,2230,35139,705,570
2021-07-21,5634,3528,59662,1065,11,214,98,351,121,4593,2331,37286,743,565
2021-07-22,5634,3528,59410,1065,6,209,93,336,118,4593,2194,34771,614,545
2021-07-23,5634,3523,59079,1062,3,196,74,315,116,4585,2106,31935,686,511
2021-07-24,5634,3523,59269,1062,6,188,73,321,116,4585,2090,32005,508,509
2021-07-25,5634,3523,59499,1062,6,191,72,337,111,4585,2058,32294,521,528
2021-07-26,5462,3366,59737,1062,8,189,86,325,118,4428,2244,34812,752,514
2021-07-27,5462,3366,59738,1062,6,185,77,309,117,4428,2272,35179,775,494
2021-07-28,5462,3370,60046,1069,9,188,123,311,118,4439,2373,37285,754,499
2021-07-29,5462,3370,59679,1069,8,183,93,313,119,4439,2209,34920,748,496
2021-07-30,5462,3370,59518,1069,6,171,79,316,123,4439,2087,31992,657,487
2021-07-31,5462,3370,59593,1069,5,160,71,315,114,4439,2057,31472,524,475
2021-08-01,5462,3370,59609,1069,5,162,78,320,110,4439,2066,31692,517,482
2021-08-02,5462,3370,59460,1069,15,168,112,319,109,4439,2110,32218,517,487
2021-08-03,5462,3370,59237,1069,9,170,76,327,106,4439,2139,32549,587,497
2021-08-04,5463,3371,59400,1069,10,176,81,341,103,4440,2363,37181,788,517
2021-08-05,5463,3371,59326,1069,8,173,85,372,101,4440,2229,34738,778,545
2021-08-06,5463,3371,58497,1069,11,177,94,339,103,4440,2098,31616,723,516
2021-08-07,5463,3371,59486,1069,9,175,94,354,97,4440,1725,26272,534,529
2021-08-08,5463,3371,59234,1069,12,172,80,342,94,4440,1727,26274,531,514
2021-08-09,5463,3366,58950,1070,13,179,90,369,95,4436,2223,34661,769,548
2021-08-10,5463,3366,59898,1070,5,187,82,380,102,4436,2235,35415,786,567
2021-08-11,5463,3366,59384,1070,14,207,70,386,104,4436,2346,37369,829,593
2021-08-12,5463,3366,59614,1070,15,204,96,415,99,4436,2194,35417,810,619
2021-08-13,5463,3365,59538,1067,6,214,78,426,99,4432,2093,32308,730,640
2021-08-14,5463,3365,59587,1067,7,222,78,409,103,4432,1734,26471,570,631
2021-08-15,5463,3365,59774,1067,9,227,96,426,104,4432,1725,26945,551,653
2021-08-16,5463,3365,59282,1067,8,243,114,468,118,4432,2237,35167,810,711
2021-08-17,5463,3365,59473,1067,17,248,125,486,119,4432,2232,35283,831,734
2021-08-18,5463,3365,59779,1067,16,255,122,523,114,4432,2298,37614,808,778
2021-08-19,5460,3365,59809,1067,14,269,104,561,122,4432,2192,35433,782,830
2021-08-20,5460,3373,59339,1066,15,272,86,606,126,4439,2065,32397,728,878
2021-08-21,4732,2682,52607,709,3,225,67,556,99,3391,1695,26676,531,781
2021-08-22,4732,2682,52689,709,11,240,75,601,102,3391,1677,26789,543,841
2021-08-23,4732,2682,52234,709,13,245,66,612,112,3391,1803,29245,638,857
2021-08-24,5460,3373,59517,1066,15,333,105,712,154,4439,2212,35569,783,1045
2021-08-25,5460,3373,59505,1066,24,350,114,740,166,4439,2270,37629,808,1090
2021-08-26,5454,3373,59488,1066,17,365,105,797,157,4439,2193,35146,780,1162
2021-08-27,5454,3368,59193,1045,12,381,87,810,160,4413,2074,32262,715,1191
2021-08-28,5454,3368,58615,1045,11,380,84,819,173,4413,2045,26189,536,1199
2021-08-29,5454,3368,59158,1045,8,394,84,831,170,4413,2046,26972,530,1225
2021-08-30,5454,3368,59514,1045,11,411,110,877,177,4413,2146,34913,694,1288
2021-08-31,5454,3368,59311,1066,13,434,166,905,194,4434,2209,35233,816,1339
2021-09-01,5454,3368,59468,1066,17,449,114,927,213,4434,2258,37534,836,1376
2021-09-02,5454,3368,58921,1066,16,468,138,935,221,4434,2173,34968,781,1403
2021-09-03,5454,3371,59319,1064,15,482,98,1006,222,4435,2009,32384,627,1488
2021-09-04,5454,3371,59197,1064,11,496,92,1040,228,4435,2013,26347,570,1536
2021-09-05,5454,3371,58885,1064,13,516,95,1057,238,4435,1991,26331,554,1573
2021-09-06,5454,3371,59512,1064,19,535,98,1077,241,4435,2017,27235,582,1612
2021-09-07,5454,3371,59065,1064,15,556,99,1151,242,4435,2229,34959,803,1707
2021-09-08,5454,3371,59207,1064,17,569,103,1224,258,4435,2326,37433,923,1793
2021-09-09,5458,3371,59273,1064,11,579,119,1241,263,4435,2202,35513,785,1820
2021-09-10,5458,3372,59389,1065,10,600,89,1312,272,4437,2106,33194,694,1912
2021-09-11,3076,1739,39838,1065,14,451,92,1114,169,2804,535,15464,52,1565
2021-09-12,5458,3372,59492,1065,18,631,95,1351,269,4437,2038,33213,538,1982
2021-09-13,5458,3372,59645,1065,15,657,109,1336,278,4437,2197,35634,715,1993
2021-09-14,5458,3372,59701,1065,17,677,117,1426,292,4437,2292,38313,764,2103
2021-09-15,5458,3372,59615,1065,12,678,124,1441,297,4437,2299,38194,887,2119
2021-09-16,5459,3372,59620,1065,10,684,117,1440,315,4437,2301,37882,818,2124
2021-09-17,5461,3375,59563,1067,13,672,115,1470,298,4442,2178,35258,834,2142
2021-09-18,4733,2682,52644,709,10,523,91,1339,219,3391,1723,27295,549,1862
2021-09-19,4733,2682,52692,709,3,537,63,1364,216,3391,1761,27524,533,1901
2021-09-20,5461,3375,59661,1067,22,708,119,1551,330,4442,2231,37803,886,2259
2021-09-21,5435,3351,59696,1067,11,728,111,1632,330,4418,2233,38040,882,2360
2021-09-22,5435,3351,59239,1067,12,732,127,1658,340,4418,2228,37970,904,2390
2021-09-23,5435,3351,59591,1067,14,743,121,1692,332,4418,2229,37788,667,2435
2021-09-24,5435,3353,59613,1069,13,740,120,1678,329,4422,2056,33085,763,2418
2021-09-25,4707,2658,52383,709,5,594,70,1456,230,3367,1703,27126,535,2050
2021-09-26,4707,2658,52866,709,3,611,73,1490,235,3367,1705,27535,543,2101
2021-09-27,5435,3353,59670,1069,13,751,136,1726,337,4422,2278,37537,861,2477
2021-09-28,5435,3353,59651,1069,17,758,118,1747,328,4422,2292,37860,886,2505
2021-09-29,5435,3353,59582,1069,13,763,144,1722,323,4422,2293,37879,918,2485
2021-09-30,4707,2658,52326,709,13,610,78,1528,235,3367,1969,31655,712,2138
2021-10-01,5435,3352,58266,1069,10,744,110,1714,318,4421,2176,33817,811,2458
2021-10-02,4707,2658,52715,709,9,605,81,1542,231,3367,1836,28916,580,2147
2021-10-03,4707,2658,52361,709,11,603,68,1544,232,3367,1845,28692,574,2147
2021-10-04,5435,3352,59171,1069,19,744,152,1782,323,4421,2296,36721,904,2526
2021-10-05,5435,3352,59602,1069,20,743,133,1806,319,4421,2352,38133,846,2549
2021-10-06,5435,3352,59644,1069,13,726,142,1851,317,4421,2350,38186,937,2577
2021-10-07,5435,3352,59566,1069,19,729,137,1864,312,4421,2323,37768,951,2593
2021-10-08,5435,3345,59358,1069,19,728,165,1827,309,4414,2248,35589,866,2555
2021-10-09,5435,3345,58825,1069,22,716,154,1775,314,4414,1861,28651,598,2491
2021-10-10,5435,3345,58855,1069,20,714,135,1794,310,4414,1835,28564,580,2508
2021-10-11,5435,3345,59579,1069,18,694,176,1805,308,4414,1851,29227,577,2499
2021-10-12,5435,3344,59479,1069,19,718,160,1778,326,4413,2299,37196,978,2496
2021-10-13,5435,3345,59760,1069,19,710,211,1797,331,4414,2365,38692,971,2507
2021-10-14,5435,3345,60167,1069,20,713,185,1754,342,4414,2350,38753,880,2467
2021-10-15,5396,3324,59854,1072,17,705,145,1769,340,4396,2263,36632,787,2474
2021-10-16,5396,3324,60090,1072,13,697,128,1726,331,4396,2217,35743,611,2423
2021-10-17,5396,3324,60057,1072,31,706,331,1740,336,4396,2233,35211,583,2446
2021-10-18,5396,3324,60016,1072,25,703,230,1722,345,4396,2334,37867,837,2425
2021-10-19,5383,3314,60259,1072,36,676,294,1732,348,4386,2393,38530,867,2408
2021-10-20,5383,3314,60017,1072,42,674,311,1668,335,4386,2358,38692,856,2342
2021-10-21,5383,3314,59205,1072,35,639,395,1678,307,4386,2275,35283,845,2317
2021-10-22,5383,3314,59262,1069,30,630,355,1626,310,4383,2129,33731,766,2256
2021-10-23,5383,3314,59238,1069,27,634,291,1580,309,4383,2103,32922,574,2214
2021-10-24,5383,3314,58874,1069,45,626,378,1570,308,4383,2109,32335,572,2196
2021-10-25,5383,3314,59411,1069,36,616,436,1529,294,4383,2321,37042,854,2145
2021-10-26,5383,3314,59871,1069,33,615,429,1491,296,4383,2376,38246,870,2106
2021-10-27,5383,3314,59831,1069,44,613,536,1489,301,4383,2361,38289,863,2102
2021-10-28,5383,3314,60126,1069,45,606,561,1479,291,4383,2371,38539,734,2085
2021-10-29,5383,3315,59677,1069,38,604,548,1448,292,4384,2197,34953,747,2052
2021-10-30,5383,3315,59743,1069,32,590,472,1421,294,4384,2150,28283,546,2011
2021-10-31,5383,3315,59239,1069,23,580,499,1444,283,4384,2120,27937,524,2024
2021-11-01,5383,3315,59788,1071,40,578,622,1436,270,4386,2241,36057,830,2014
2021-11-02,5383,3315,59816,1071,39,563,674,1498,266,4386,2286,37039,831,2061
2021-11-03,5383,3315,58843,1071,44,543,727,1413,274,4386,2275,36210,813,1956
2021-11-04,5383,3315,59758,1071,38,525,706,1411,270,4386,2281,37437,846,1936
2021-11-05,5383,3313,59536,1075,36,516,692,1411,259,4388,2177,34837,739,1927
2021-11-06,5383,3313,59763,1075,35,504,636,1412,252,4388,2179,34216,528,1916
2021-11-07,5383,3313,59452,1075,33,499,561,1425,249,4388,2133,34037,545,1924
2021-11-08,5383,3313,58111,1073,39,496,711,1379,252,4386,2303,35806,769,1875
2021-11-09,5383,3313,59047,1073,38,501,684,1379,259,4386,2332,36734,830,1880
2021-11-10,5383,3313,59787,1073,35,485,707,1295,255,4386,2316,37255,828,1780
2021-11-11,5383,3313,59090,1073,31,469,719,1327,254,4386,2233,34236,561,1796
2021-11-12,5383,3311,58539,1076,37,472,728,1315,247,4387,2206,33562,731,1787
2021-11-13,5383,3311,59480,1076,27,471,645,1316,243,4387,2165,33610,526,1787
2021-11-14,5383,3311,58826,1076,26,476,659,1326,251,4387,2184,32854,527,1802
2021-11-15,5383,3311,59249,1076,39,473,693,1293,239,4387,2271,36120,815,1766
2021-11-16,5383,3311,59799,1076,23,451,732,1322,239,4387,2311,36794,819,1773
2021-11-17,5383,3311,59580,1076,21,447,717,1303,238,4387,2313,36810,788,1750
2021-11-18,5383,3311,59885,1076,27,445,769,1290,241,4387,2292,36820,810,1735
2021-11-19,5382,3304,58839,1072,36,446,689,1265,245,4376,2207,34260,716,1711
2021-11-20,5381,3304,59060,1072,31,445,628,1245,246,4376,2178,34275,555,1690
2021-11-21,5381,3304,59120,1072,14,458,533,1258,243,4376,2162,33419,518,1716
2021-11-22,5381,3304,58794,1072,25,449,574,1250,237,4376,2293,36197,802,1699
2021-11-23,5381,3304,59446,1072,23,460,624,1227,235,4376,2349,37781,817,1687
2021-11-24,5381,3304,58132,1072,22,452,656,1210,223,4376,2340,36691,827,1662
2021-11-25,5381,3304,59267,1072,26,451,656,1133,230,4376,2340,37693,847,1584
2021-11-26,5381,3306,59258,1073,25,446,575,1138,231,4379,2233,35113,762,1584
2021-11-27,5381,3306,58530,1073,18,435,513,1161,230,4379,2092,31943,570,1596
2021-11-28,5381,3306,58562,1073,16,444,469,1151,232,4379,2101,30802,587,1595
2021-11-29,5381,3306,58914,1073,21,470,494,1164,238,4379,2262,36120,827,1634
2021-11-30,5381,3306,58951,1073,18,458,501,1186,229,4379,2408,35456,820,1644
2021-12-01,5381,3306,58888,1073,18,443,509,1182,227,4379,2380,35464,811,1625
2021-12-02,5381,3306,58828,1073,9,435,367,1144,229,4379,2367,37193,796,1579
2021-12-03,5344,3304,58736,1071,11,454,371,1089,232,4375,2305,34938,714,1543
2021-12-04,5344,3304,57818,1071,5,446,261,1093,231,4375,2214,31320,551,1539
2021-12-05,5344,3304,57943,1071,7,457,242,1129,234,4375,2146,29513,514,1586
2021-12-06,5344,3304,59012,1071,6,446,292,1117,229,4375,2400,36951,804,1563
2021-12-07,5344,3304,59677,1071,10,426,342,1123,230,4375,2454,38160,825,1549
2021-12-08,5344,3304,59149,1071,11,430,295,1098,226,4375,2486,37826,851,1528
2021-12-09,5344,3304,59666,1071,5,425,318,1096,220,4375,2489,38190,897,1521
2021-12-10,5344,3307,59512,1069,10,420,275,1092,217,4376,2352,35584,763,1512
2021-12-11,5344,3307,59327,1069,15,424,253,1110,213,4376,2258,32520,533,1534
2021-12-12,5344,3307,59174,1069,8,439,221,1125,208,4376,2250,32139,504,1564
2021-12-13,5344,3307,58518,1069,8,453,229,1086,229,4376,2410,36390,812,1539
2021-12-14,5344,3307,58648,1069,8,453,255,1066,234,4376,2439,37257,848,1519
2021-12-15,5352,3315,58368,1069,14,440,266,1097,238,4384,2452,36931,883,1537
2021-12-16,5352,3315,59080,1069,12,424,75,1126,223,4384,2453,37402,841,1550
2021-12-17,5356,3316,58866,1070,6,435,70,1142,225,4386,2357,34850,748,1577
2021-12-18,5356,3316,58128,1070,48,453,101,1136,238,4386,2223,31047,558,1589
2021-12-19,5356,3316,58381,1070,21,459,153,1199,241,4386,2193,30781,548,1658
2021-12-20,5356,3316,59001,966,21,468,156,1203,241,4282,2329,35039,799,1671
2021-12-21,5358,3318,58705,966,19,463,181,1248,249,4284,2359,34884,821,1711
2021-12-22,5358,3318,58593,966,22,455,190,1340,240,4284,2332,33661,774,1795
2021-12-23,5359,3318,58688,966,22,461,209,1338,246,4284,2242,33669,793,1799
2021-12-24,5359,3318,58538,966,20,451,210,1386,233,4284,2138,31902,787,1837
2021-12-25,5359,3318,58328,966,21,449,266,1435,230,4284,2028,28401,552,1884
2021-12-26,5359,3318,58389,966,12,476,201,1692,231,4284,2087,30867,550,2168
2021-12-27,5359,3318,58417,966,36,490,256,1922,240,4284,2143,31694,591,2412
2021-12-28,5359,3318,59146,966,34,476,252,2156,242,4284,2152,33004,553,2632
2021-12-29,5359,3318,59101,966,35,510,291,2489,247,4284,2202,33375,784,2999
2021-12-30,5360,3319,58304,965,34,533,392,2829,253,4284,2244,33044,780,3362
2021-12-31,5359,3318,57923,966,30,550,337,2789,272,4284,2229,32368,767,3339
2022-01-01,5359,3318,58233,966,26,574,346,3291,272,4284,2159,30142,553,3865
2022-01-02,5359,3318,57884,966,17,619,283,3655,298,4284,2225,32002,565,4274
2022-01-03,5359,3318,58173,966,27,645,297,4113,308,4284,2207,32587,552,4758
2022-01-04,5359,3314,59240,965,27,704,392,4618,336,4279,2272,34272,795,5322
2022-01-05,5360,3315,58714,965,23,739,389,5041,365,4280,2156,33914,816,5780
2022-01-06,5360,3315,58730,965,23,791,384,5340,370,4280,2330,35495,846,6131
2022-01-07,5359,3313,58482,961,19,865,387,5878,402,4274,2270,35321,821,6743
2022-01-08,5359,3313,58947,961,31,903,428,6277,403,4274,2116,32967,551,7180
2022-01-09,5359,3313,58840,961,21,914,348,6537,408,4274,2084,32738,529,7451
2022-01-10,5359,3313,59050,961,21,973,283,7115,428,4274,2174,35205,814,8088
2022-01-11,5359,3313,58851,961,29,1021,385,7530,441,4274,2193,35040,826,8551
2022-01-12,5359,3313,59249,961,25,1029,437,7950,463,4274,2213,35151,813,8979
2022-01-13,5359,3313,58826,961,30,1067,358,8275,477,4274,2187,34394,821,9342
2022-01-14,5359,3314,58692,960,24,1096,416,8525,520,4274,2035,32070,752,9621
2022-01-15,5359,3314,59173,960,21,1121,403,8865,544,4274,1998,32034,535,9986
2022-01-16,5359,3314,59172,960,32,1124,321,9135,560,4274,1961,31764,531,10259
2022-01-17,5359,3314,58636,960,20,1180,302,9408,577,4274,2066,33430,795,10588
2022-01-18,5359,3314,59191,960,17,1200,359,9387,590,4274,2110,34691,747,10587
2022-01-19,5359,3314,59302,960,25,1216,384,9527,589,4274,2111,34457,761,10743
2022-01-20,5359,3314,59233,960,27,1198,413,9523,606,4274,2105,34531,726,10721
2022-01-21,5368,3320,59372,965,31,1214,356,9437,630,4285,2007,32626,698,10651
2022-01-22,5368,3320,59049,965,44,1208,475,9465,624,4285,1999,31640,523,10673
2022-01-23,5368,3320,59220,965,19,1206,303,9630,620,4285,1952,31717,500,10836
2022-01-24,5368,3320,59389,965,21,1233,305,9789,638,4285,2097,34367,750,11022
2022-01-25,5368,3320,59307,965,26,1192,346,9542,643,4285,2125,34869,756,10734
2022-01-26,5373,3320,59126,965,27,1159,336,9395,618,4285,2135,34717,753,10554
2022-01-27,5373,3320,59066,965,13,1169,271,9279,640,4285,2137,34533,776,10448
2022-01-28,5373,3320,59408,964,21,1166,257,8903,636,4284,1991,33127,712,10069
2022-01-29,5373,3320,58517,964,17,1141,258,8770,597,4284,1955,31503,542,9911
2022-01-30,5373,3320,58496,964,18,1139,190,8831,587,4284,1950,31483,486,9970
2022-01-31,5373,3320,59310,964,22,1144,169,8812,596,4284,2058,34499,756,9956
2022-02-01,5373,3320,59297,964,25,1099,254,8609,569,4284,2117,35271,749,9708
2022-02-02,5373,3320,58989,964,16,1073,220,8321,578,4284,2115,35425,778,9394
2022-02-03,5374,3321,58595,964,1,1054,138,8107,550,4285,2061,33074,717,9161
2022-02-04,5374,3318,58638,966,8,1034,105,7781,531,4284,2052,32991,899,8815
2022-02-05,5374,3318,59119,966,3,999,93,7578,522,4284,2087,32796,561,8577
2022-02-06,5374,3318,58684,966,7,1004,108,7574,522,4284,2033,32340,524,8578
2022-02-07,5374,3318,58908,966,1,1007,81,7495,537,4284,2094,33343,927,8502
2022-02-08,5374,3318,58267,966,6,975,80,7312,521,4284,2076,33244,909,
2022-02-09,5374,3318,57982,966,5,956,79,7150,519,4284,2100,33175,729,
2022-02-10,5374,3318,59095,966,8,920,72,6880,490,4284,2065,34175,730,
2022-02-11,5374,3333,58613,967,2,874,68,6618,466,4300,2062,33808,751,
2022-02-12,5374,3333,57774,967,2,846,74,6401,440,4300,2043,32247,546,
2022-02-13,5374,3333,58359,967,3,839,50,6492,429,4300,1965,31526,526,
2022-02-14,5374,3333,59020,967,1,805,56,6348,423,4300,2044,34509,702,